RegionName,BuildingName,Address1,City,State,ZIP,RoomName,RoomComments,Contact,Telephone,Capacity,SeatingStyleName,VideoConferencing,ProjectionScreen,SpeakerSystem,Projector,TeleDataOutlet,WhiteBoard,VCRorDVD,TenantUse,StateAgencyUse,PublicUse
Southern Region,7575 Metropolitan Drive # 101,7575 Metropolitan Drive # 101,San Diego,CA,92108,101,NULL,Eula Wilburn ,619-688-0200,20,Tables and Chairs,N,Y,N,Y,Y,Y,Y,Y,N,N
Southern Region,7575 Metropolitan Drive # 101,7575 Metropolitan Drive # 101,San Diego,CA,92108,340,NULL,Eula Wilburn ,619-688-0200,30,Tables and Chairs,N,Y,N,Y,Y,N,Y,Y,N,N
Southern Region,California Tower,3737 Main Street,Riverside,CA,92501,204 Magnolia,NULL,Janine Franco ,951-715-0130,50,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
Southern Region,California Tower,3737 Main Street,Riverside,CA,92501,205 Victoria,NULL,Janine Franco ,951-715-0130,50,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
Southern Region,California Tower,3737 Main Street,Riverside,CA,92501,206 Arlington,NULL,Janine Franco ,951-715-0130,50,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
Southern Region,California Tower,3737 Main Street,Riverside,CA,92501,207 Alvarado,NULL,Janine Franco ,951-715-0130,50,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
Southern Region,California Tower,3737 Main Street,Riverside,CA,92501,210 Rubidoux,NULL,Janine Franco ,951-715-0130,50,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
Southern Region,Santa Ana State Office Building,605 W. Santa Ana Boulevard,Santa Ana,CA,92701,142,NULL,Kathy  Dungan ,714-558-4657,25,Tables and Chairs,N,N,N,N,N,N,N,N,N,N
Southern Region,Santa Ana State Office Building,605 W. Santa Ana Boulevard,Santa Ana,CA,92701,540,NULL,Arturo  ,714-558-4406,15,Tables and Chairs,N,N,N,N,N,N,Y,N,N,N
Southern Region,Santa Ana State Office Building,605 W. Santa Ana Boulevard,Santa Ana,CA,92701,850,NULL,Operator  ,714-558-4434,50,Tables and Chairs,N,N,N,N,N,Y,N,N,N,N
Southern Region,Van Nuys State Office Building,6150 Van Nuys Blvd.,Van Nuys,CA,91401,Auditorium,NULL,Maria Hernandez ,818-901-5425,117,Tables and Chairs,N,Y,Y,N,N,N,Y,N,Y,N
