id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
2347,Scallops a la poulette,,11,11,1900,1901,0.35,0.8
2348,Scallops a la poulette in a chafing dish,,1,1,1901,1901,1.0,1.0
2349,FARINA OR CORN STARCH JELLY,,2,2,1901,1901,0.1,0.1
2351,Riesling,,65,69,1892,1988,0.0,8.25
2352,Premier Special Dry,,4,4,1901,1901,1.25,2.25
2353,Imperial,,71,79,1881,1981,0.0,25.0
2354,"Cream Ale, mug, glass or toby",,2,2,1901,1901,0.1,0.1
2355,Club House sandwich,,25,27,1900,1971,0.0,18.0
2356,Moctezuma XXX,,1,1,1900,1900,0.0,0.0
2357,Bartlett Pears,,67,71,1881,1969,0.1,20.0
2358,Ox Tongue,,183,183,1881,1978,0.0,35.0
2359,"Whiskey ""Lorne""",,1,1,1900,1900,0.15,0.15
2362,Id. id. con mollete,,2,2,1900,1900,0.2,0.3
2363,"Moét & Chandon ""Dry Imperial""",,1,1,1900,1900,3.5,7.0
2364,Moscato d' Asti,,2,2,1900,1900,3.0,3.0
2366,RESTAURANT,,4,4,1900,1901,,
2375,1900-4103,,1,1,1900,1900,0.0,0.0
2377,Schoppen with Seltzer,,3,3,1901,1901,0.2,0.2
2378,Soft Clam Fry,,17,17,1900,1921,0.2,0.6
2380,Soft Clam Stew,,18,18,1900,1959,0.2,1.4
2382,Soft Clams Steamed,,7,7,1892,1918,0.25,0.5
2383,MUSTARD SARDINES,,2,2,1901,1901,0.25,0.25
2384,PLAIN LETTUCE,,39,43,1865,1964,0.0,0.3
2386,Glass,,13,16,1900,1948,0.05,20.0
2388,CHAMPAGNES.,,4,4,1900,1901,,
2391,"CORNED BEEF, navel part",,2,2,1901,1901,0.25,0.25
2392,"ROAST BEEF, POTATO SALAD",,16,16,1892,1969,0.0,1.0
2394,"ROAST TURKEY, CRANBERRY SAUCE",,148,150,1884,1981,0.0,50.0
2395,"ROAST SPRING LAMB, SLICED TOMATOES",,2,2,1901,1901,0.45,0.45
2396,"ROAST BEECHNUT HAM, MIXED SALAD",,2,2,1901,1901,0.0,0.0
2397,"Cape Cods, Rockaways and Blue-Points a Specialty",,1,1,1901,1901,0.0,0.0
2398,COMBINATION SALAD,,455,481,1900,1987,0.0,45.0
2399,Sandwiches,,78,86,1888,1987,0.0,2.95
2401,SLICED BERMUDA ONIONS,,18,18,1881,1954,0.05,0.2
2402,Bread and Butter,,698,818,1889,1971,0.0,25.0
2403,"ROAST LOIN OF PORK, APPLE SAUCE",,54,54,1883,1958,0.0,0.0
2404,French Prunes,,34,34,1882,1938,0.05,0.4
2405,BOILED HAM WITH POTATO SALAD,,8,8,1900,1921,0.15,15.0
2406,"Porterhouse steak, extra",,14,14,1898,1907,2.0,150.0
2407,Swiss cheese,,1007,1071,1882,1988,0.0,95.0
2408,with truffles,,6,6,1900,1913,0.75,300.0
2409,Hamburg steak,,133,133,1889,1938,0.0,75.0
2410,Consomme with rice,,97,100,1892,1966,0.1,25.0
2411,with peas,,4,4,1900,1920,0.7,2.5
2412,ENGLISH CHOP,,10,10,1900,1901,0.35,0.75
2413,ENGLISH CHOP WITH KIDNEY,,2,2,1901,1901,0.0,0.0
2416,breaded,,3,3,1900,1901,0.05,0.5
2417,Chablis (white),,31,33,1883,1918,0.5,20.0
2419,Romanee Conti,,11,11,1881,1916,2.0,6.0
2421,Johannis Lithia,,24,24,1899,1920,0.15,0.4
2422,Magnolia,,2,2,1900,1900,0.25,0.4
2423,Strontia,,21,21,1890,1901,0.25,0.5
2427,French pancake,,124,129,1889,1947,0.15,20.0
2428,Fritters,,32,32,1899,1955,0.1,10.0
2429,Cranberry Sauce,,206,211,1858,1969,0.05,0.5
2430,Currant Jelly,,333,340,1,1965,0.05,20.0
2431,Vanilla,,92,92,1892,1973,0.05,30.0
2432,Harlequin,,8,8,1898,1900,0.2,0.35
2433,Mince Pie,,596,616,1851,1961,0.05,20.0
2434,Capri Bianco,,5,5,1896,1900,0.0,0.0
2435,"Lacrima Christi, Sparkling",,1,1,1900,1900,1.5,3.0
2436,London Dock,,28,28,1882,1948,0.15,3.5
2437,Blackberry,,50,51,1900,1981,0.1,70.0
2438,Apricot,,33,34,1900,1981,0.0,60.0
2439,Cherry,,20,21,1900,1980,0.15,2.0
2440,B. & G. Cognac Vierge,,1,1,1900,1900,0.0,0.0
2441,"V. S. O. P., 1850",,1,1,1900,1900,4.5,4.5
2442,Voslauer Goldeck,,5,5,1900,1900,0.75,1.5
2443,Red Voslauer,,4,4,1900,1901,0.5,1.5
2446,Rhine,,21,22,1900,1966,0.15,4.0
2447,"Zinfandel, fine California Claret",,1,1,1900,1900,0.0,0.0
2448,Hockheimer,,38,38,1851,1918,0.0,75.0
2449,Spring lamb Chops,,51,51,1892,1985,0.25,22.5
2450,CAFE,,839,864,1866,2012,0.0,30.0
2454,"Sirloin Steak, extra thick",,2,2,1900,1900,0.45,0.45
2456,Little Neck Fry,,19,19,1899,1914,0.2,25.0
2457,Single Porterhouse steak,,13,13,1900,1906,0.5,2.0
2458,Sirloin a la Stanley,,5,5,1901,1901,0.0,0.0
2459,"Fried Frog's Legs, Sauce Tartar",,1,1,1901,1901,0.5,0.5
2460,"Fried honey-comb tripe, bacon",,5,5,1901,1901,0.25,0.25
2461,Boston Lettuce,,27,27,1900,1970,0.1,15.0
2462,Chicken fricasse,,7,7,1900,1971,0.0,1.25
2463,"Veal cutlet, breaded, Milanaise",,6,6,1900,1901,0.0,0.0
2464,Chicken croquettes and peas,,6,6,1895,1901,0.4,0.4
2465,Chicken hash on toast with egg,,5,5,1901,1901,0.35,0.35
2466,"Veal cutlets, Breaded",,52,52,1865,1945,0.15,30.0
2467,"Veal kidney saute, mushrooms",,5,5,1901,1901,0.0,0.0
2469,Hashed Brown,,26,26,1900,1969,0.1,0.95
2470,Boiled or Fried Sweet Potatoes,,2,2,1901,1901,0.0,0.0
2471,"English Mutton chop, single",,33,34,1889,1913,0.25,35.0
2472,"Spring lamb chops, French peas",,7,7,1900,1901,0.35,0.75
2474,Apple Pie,,1485,1616,1851,1987,0.0,25.0
2475,Stewed mushrooms in cream,,5,5,1901,1901,0.25,0.25
2476,Sirloin Steak with Onions,,155,158,1889,1920,0.3,110.0
2477,Sirloin Steak with Olives,,3,3,1892,1900,0.0,0.0
2479,Custard Pie,,295,301,1866,1955,0.05,15.0
2480,Cold Slaw,,435,437,1882,1954,0.0,40.0
2481,Dry or buttered toast,,63,66,1900,1961,0.1,10.0
2482,Graves,,208,224,1886,2012,0.0,100.0
2483,Graham or Boston crackers,,2,2,1901,1901,0.0,0.0
2484,"Sauternes, Cruse & Fils Freres",,9,9,1882,1901,0.7,1.5
2485,pint,,14,14,1900,1933,0.0,30.0
2486,"Shredded wheat biscuits, milk",,5,5,1901,1901,0.15,0.15
2487,quart,,4,4,1900,1937,0.3,0.5
2489,"Sauternes, J. Calvet & Co.",,5,5,1882,1901,0.5,1.5
2491,Lima or String beans,,3,3,1900,1901,0.0,0.0
2492,Haut Barsac,,55,55,1852,1962,0.0,150.0
2494,Peach Tartlets,,16,16,1900,1954,0.1,0.25
2495,Chateua Yquem,,1,1,1900,1900,3.5,3.5
2496,Pound cake,,422,435,1881,1980,0.05,15.0
2497,"Poaches eggs on toast, two",,1,1,1901,1901,0.3,0.3
2498,Poland,,82,82,1900,1941,0.0,35.0
2499,German Selters,,13,13,1882,1914,0.2,50.0
2501,"Banana fritters, rhum sauce",,5,5,1901,1901,0.2,0.2
2502,Celestins Vichy,,36,36,1900,1927,0.15,50.0
2503,Cantaloupe,,507,635,1891,1983,0.0,25.0
2504,Citron cake,,68,68,1882,1917,0.05,0.25
2505,"Syphons, (Hygeia Distilled Water Co.)",,3,3,1899,1900,0.0,0.0
2506,Egg Sandwich,,135,136,1900,1965,0.0,5.0
2507,Raisin cake,,283,294,1882,1973,0.05,5.0
2508,Jericho Cider,,82,84,1884,1928,0.05,0.75
2509,Imported Ginger Ale,,81,82,1881,1917,0.15,25.0
2511,SANDWICHES &c.,,1,1,1901,1901,0.0,0.0
2514,California Port,,19,20,1881,1980,0.25,1.5
2515,Sliced Oranges,,252,265,1892,1987,0.05,20.0
2516,Cream Rolls,,30,30,1900,1921,0.05,0.5
2517,California Sherry,,11,11,1891,1953,0.25,1.0
2518,Baked Indian Pudding,,17,17,1865,1957,0.1,0.25
2520,Angelica,,44,44,1866,1949,0.1,2.0
2522,Delaware Grapes,,120,187,1887,1917,0.1,35.0
2524,Niagara Grapes,,103,144,1890,1917,0.1,0.5
2526,Cocoanut,,8,8,1900,1914,0.05,0.15
2527,Peaches and cream,,82,85,1865,1941,0.1,35.0
2528,Sherry.,,3,4,1865,1901,,
2530,Rhine Wines.,,2,2,1900,1901,0.0,0.0
2531,CAMEMBERT CHEESE,,688,731,1889,1981,0.0,30.0
2532,Chocolate cake,,59,61,1881,1988,0.0,5.0
2533,QUEEN OLIVES STUFFED,,4,4,1900,1901,0.15,0.2
2535,"Ham, Cold meat",,1,1,1901,1901,0.25,0.25
2536,Cocoanut cake,,19,20,1891,1941,0.05,0.15
2537,East India chutney,,3,3,1900,1901,0.0,0.0
2538,Cornstarch pudding,,6,6,1900,1901,0.1,0.15
2539,English chow chow,,17,18,1892,1914,0.05,0.15
2540,Jelly roll,,69,69,1882,1985,0.05,0.25
2541,Lemon water ice,,423,426,1881,1974,0.0,25.0
2542,TO ORDER,,6,6,1899,1933,,
2543,Oatmeal and milk,,113,115,1882,1918,0.05,25.0
2544,Indian meal mush,,22,23,1895,1917,0.15,0.35
2545,Home-made apple pie,,20,21,1900,1962,0.1,0.4
2546,Gratinierte Austern,,2,2,1900,1900,0.0,0.0
2547,"Demi-tasse, special",,6,6,1901,1905,0.1,0.25
2548,Rice or hominy,,1,1,1901,1901,0.15,0.15
2550,Extra mayonnaise,,10,10,1900,1901,0.1,0.1
2551,lemon pie,,140,146,1865,1980,0.0,5.0
2553,rhubarb pie,,210,217,1882,1974,0.05,5.0
2554,"Extra mocha, per pot",,5,5,1901,1901,0.0,0.0
2555,strawberry meringue,,2,2,1901,1901,0.1,0.1
2556,"Eierkuchen, Mailander Art",,3,3,1900,1901,0.0,0.0
2557,Best Java,,1,1,1901,1901,0.05,0.05
2558,"Beefsteak, Tartare",,26,26,1900,1914,0.4,0.75
2559,Verlorene Eire Ruhreier,,1,1,1900,1900,0.0,0.0
2560,"Best Java, per pot",,5,5,1901,1901,0.15,0.15
2561,Chocolate eclair,,185,202,1892,1987,0.0,5.0
2562,Mocha,,41,57,1897,1989,0.25,0.25
2563,"Tea, per pot",,144,147,1892,1967,0.0,15.0
2564,"Eier, Schlosherrin Art",,2,2,1900,1900,0.0,0.0
2566,FRENCH ICE CREAM,,93,98,1891,1987,0.0,15.0
2567,Raw meat,,4,4,1900,1917,0.1,15.0
2568,Hafercacao,,16,16,1900,1900,0.0,0.0
2569,Currants,,5,5,1901,1901,0.0,0.0
2570,Cacao,,135,135,1892,1958,0.0,0.3
2571,Cherries,,224,251,1890,2012,0.0,50.0
2572,Neapolitan,,168,170,1892,2928,0.1,35.0
2574,Tartlettes: Apple,,1,1,1901,1901,0.1,0.1
2575,Roman Punch,,597,610,1856,1965,0.0,40.0
2576,"Tea, per cup",,82,84,1889,1938,0.05,10.0
2577,Cold rice pudding,,155,159,1891,1945,0.0,30.0
2578,"Chocolate, per cup",,110,111,1882,1937,0.0,15.0
2579,"Cocoa, per cup",,108,108,1889,1938,0.05,15.0
2580,Sliced pineapple,,252,275,1892,1987,0.0,15.0
2581,STRAWBERRY SHORT CAKE WITH CREAM,,4,4,1899,1905,0.0,0.0
2582,St. Julien (Cruse et Fils Freres),,4,4,1901,1901,0.0,0.0
2583,WITH ICE CREAM,,2,2,1901,1907,0.25,0.5
2584,Delmonico steak with onions,,12,12,1901,1913,0.6,60.0
2585,Ham or tongue,,10,10,1900,1901,0.1,0.4
2586,Delmonico steak with mushrooms,,6,6,1901,1933,0.7,2.5
2587,Pontet-Canet (Brandenburg Freres),,2,2,1901,1901,0.75,1.5
2588,Single Porterhouse steak with onions,,7,7,1900,1901,0.6,1.15
2589,Single Porterhouse steak with mushrooms,,8,8,1900,1906,0.0,0.0
2590,Whiskey or Gin,,1,1,1901,1901,0.0,0.0
2591,CLARETS.,,1,1,1900,1900,0.0,0.0
2592,Chateaubriand (double tenderloin),,5,5,1900,1901,1.0,1.25
2593,Pontet-Canet,,14,14,1886,1901,0.5,2.0
2594,Martini,,316,326,1894,1999,0.0,3.95
2595,Margaux,,134,147,1865,2012,0.0,150.0
2596,Chateaubriand (double tenderloin) with mushrooms,,3,3,1901,1901,0.0,0.0
2597,Cheese American or Swiss,,1,1,1901,1901,0.1,0.1
2598,Gin,,78,83,1893,1990,0.0,2.5
2599,Roll sandwich,,2,2,1901,1901,0.1,0.1
2600,California Table Claret,,5,5,1901,1901,0.25,0.5
2601,Double sirloin Bordelaise,,5,5,1901,1901,1.25,1.25
2602,Brown bread sandwich,,3,3,1901,1945,0.1,0.15
2603,"Werner's Rubby Split, 1/2 pt.",,4,4,1901,1901,0.0,0.0
2604,Double sirloin with onions,,9,9,1901,1901,1.15,2.25
2605,SAUTERNES.,,1,1,1865,1865,,
2606,Rye bread sandwich,,2,2,1901,1901,0.1,0.1
2607,Double sirloin with mushrooms,,37,38,1898,1920,1.4,4.0
2608,York Cocktail,,3,3,1901,1901,0.35,1.25
2609,"Haunt-Sauterne, (Braudenburg Freres)",,1,1,1901,1901,0.0,0.0
2610,Haut-Sauterne,,8,8,1890,1901,0.5,2.0
2614,Pints,,7,8,1901,1959,0.25,3.0
2615,ITALIAN WINES,,1,1,1899,1899,,
2617,"Coffee or tea, per pot",,2,2,1901,1901,0.2,0.2
2618,Quarts,,8,8,1901,1918,0.4,1.25
2619,Chianti Vecchio,,8,8,1900,1964,0.5,2.0
2620,"Black tea to order, per pot",,2,2,1901,1901,0.0,0.0
2621,Old Valley Rye,,5,5,1901,1901,0.15,0.15
2622,Lamb Chops with peas,,16,16,1884,1905,0.4,1.25
2623,Rudesheimer,,187,188,1,1939,0.0,18.0
2624,English breakfast tea to order per pot,,1,1,1901,1901,0.0,0.0
2625,Johannisberger,,37,37,1859,1969,0.0,6.25
2626,"Green tea to order, per pot",,2,2,1901,1901,0.2,0.2
2627,Deidesheimer,,65,67,1856,1917,0.0,100.0
2628,Vichy Syphon,,11,11,1900,1906,0.05,0.25
2629,lemon meringue pie,,229,266,1882,1987,0.0,5.0
2630,Hunter Rye,,23,23,1896,1949,0.15,2.0
2631,California Rhine Wine,,4,4,1901,1901,0.35,0.6
2632,Plain toast,,58,58,1899,1965,0.1,10.0
2634,Old Crow Rye,,26,26,1900,1955,0.15,150.0
2635,"IMPORTED AND DOMESTIC, ALES, PORTERS, AND BEERS.",,1,1,1901,1901,0.0,0.0
2636,Bowl of cream with rice,,2,2,1901,1901,0.3,0.3
2637,"Bass' Ale, (White Label)",,3,3,1901,1901,0.0,0.0
2638,Canadian Club Rye,,6,6,1900,1964,0.15,1.5
2639,Rice and milk,,153,155,1889,1941,0.05,25.0
2640,"Bass' Ale, (Dog's Head)",,3,3,1901,1901,0.25,0.25
2641,splits,,9,19,1901,1959,0.15,15.0
2642,Trimble Rye,,6,6,1900,1901,0.15,200.0
2643,Evan's Hudson Cream Ale,,5,5,1901,1901,0.2,0.2
2644,Wilson Rye,,42,43,1900,1955,0.15,2.5
2645,Luechow's Wurzburger Hofbrauw (on draught),,5,5,1901,1901,0.1,0.1
2646,Pepper Rye,,6,6,1900,1901,0.15,0.15
2647,Guinness' Stout,,149,152,1873,1964,0.0,40.0
2648,Wurzburger Hofbrauw,,5,5,1901,1901,0.0,0.0
2649,"MILK, PER GLASS",,195,195,1882,1958,0.05,5.0
2650,Pabst Milawukee Beer,,1,1,1901,1901,0.0,0.0
2651,Soda,,200,202,1900,1979,0.0,12.0
2652,"Cream, per glass",,142,145,1882,1958,0.1,20.0
2653,Bavarian Export Beer,,5,5,1901,1901,0.0,0.0
2654,"Cream and milk, per glass",,4,4,1900,1901,0.0,0.0
2655,"Arondack, Saratoga Water",,2,2,1901,1901,0.05,0.05
2656,"New York Beer, (D. Mayer & Co.)",,3,3,1901,1901,0.1,0.1
2657,Schlitz's Milwaukee Beer,,7,7,1900,1901,0.2,0.25
2658,Bowl of milk and crackers,,20,20,1900,1917,0.15,0.25
2660,Miller's Milwaukee Beer,,1,1,1901,1901,0.0,0.0
2661,Bowl of half cream and half milk with crackers,,4,4,1901,1914,0.2,0.25
2662,"WHISKIES, GIN, Etc.",,1,1,1901,1901,0.0,0.0
2663,Champagne Cocktail,,177,193,1856,1980,0.0,3.0
2664,Bowl of cream and crackers,,2,2,1901,1901,0.3,0.3
2665,Gin Fizz,,204,206,1900,1983,0.0,40.0
2666,Mt. Vernon Rye '91,,5,5,1901,1901,0.0,0.0
2667,Philadelphia Club Rye,,5,5,1901,1901,0.15,0.15
2668,Silver Fizz,,144,145,1900,1967,0.0,1.25
2670,Jamaica Rum,,136,139,1856,1957,0.1,2.5
2671,Golden Fizz,,126,127,1900,1963,0.2,1.25
2672,Buffalo,,1,1,1901,1901,0.0,0.0
2673,Gin Sour,,62,63,1856,1963,0.0,1.0
2674,St. Croix Rum,,122,124,1880,1917,0.1,150.0
2675,King William V.O.P. Scotch,,6,6,1901,1962,0.2,0.8
2676,Stewart's Finest Scotch,,6,6,1900,1901,0.0,0.0
2677,AEtna Lithia Water,,2,2,1901,1901,0.05,0.05
2678,"Milk Punch, Rum or Whiskey",,3,3,1901,1901,0.2,0.2
2679,Usher's Scotch,,22,22,1900,1959,0.15,2.0
2680,Dewar's Scotch,,24,24,1900,1980,0.15,2.0
2681,"Vermouth, French",,63,63,1892,1969,0.1,0.7
2682,"Milk Punch, Brandy",,12,12,1901,1916,0.25,25.0
2683,Hennessey *** Brandy Pony 15,,1,1,1901,1901,0.0,0.0
2684,Hot Rye,,3,3,1901,1901,0.15,0.15
2685,"Vermouth, Italian",,147,147,1900,1969,0.1,12.0
2686,"Absinthe, Bitters and Cordials",,1,1,1901,1901,0.0,0.0
2687,Cider Brandy (Apple Jack),,5,5,1901,1901,0.15,0.15
2688,Absinthe Cocktail,,14,16,1901,1916,0.15,1.25
2689,Boonekamp Bitters,,33,33,1892,1917,0.1,15.0
2690,Burnetts Tom Gin,,5,5,1901,1901,0.15,0.15
2691,Martini Cocktail,,201,202,1899,1978,0.0,1.25
2692,Gordon Dry Gin,,23,23,1901,1971,0.0,1.5
2693,Plymouth Gin,,123,123,1893,1971,0.12,200.0
2694,Gin Cocktail,,39,40,1856,1987,0.0,1.25
2695,Geneva (Schredam) Gin,,5,5,1901,1901,0.15,0.15
2696,Vermouth Cocktail,,35,36,1900,1939,0.15,1.25
2698,Hostetters Bitters,,6,6,1900,1901,0.15,0.15
2699,Angostura Bitters,,71,72,1882,1952,0.1,40.0
2700,Scotch High Ball,,6,6,1900,1937,0.15,0.3
2701,BITTERS AND CORDIALS.,,1,1,1901,1901,0.0,0.0
2702,Hot Scotch Whiskey,,5,5,1901,1901,0.15,0.15
2703,"Curacao, Orange",,27,27,1900,1962,0.15,2.25
2704,"Chartreuse,Yellow and Green",,1,1,1901,1901,0.0,0.0
2705,Kummel (Gilka),,9,9,1900,1948,0.2,0.65
2706,Whiskey Punch,,57,58,1896,1961,0.15,1.35
2707,Kummel Gilka,,9,9,1900,1941,0.1,0.4
2708,Abricotine,,21,21,1892,1940,0.15,15.0
2709,Whiskey Rickey,,20,20,1900,1963,0.15,0.95
2710,"Curacao, Orange and Green",,3,3,1901,1901,0.0,0.0
2711,Kummel Russian,,3,3,1901,1913,0.15,0.2
2712,MIXED DRINKS.,,1,1,1901,1901,0.0,0.0
2713,White Rock Lithia,,81,82,1896,1919,0.05,0.5
2714,RHINE WINE CUP,,20,20,1892,1906,0.5,2.0
2715,CLARET WINE CUP,,7,7,1901,1906,0.75,1.5
2716,Whiskey Sour,,252,263,1900,1987,0.0,15.0
2717,Ice Cream Soda,,14,14,1900,1989,0.0,0.0
2718,Sherry Flip,,150,154,1900,1980,0.0,2.0
2719,Claret Lemonade,,83,85,1900,1967,0.0,1.0
2720,Red Raven Split,,7,7,1901,1940,0.15,0.2
2721,Sam Ward,,18,18,1891,1901,0.15,0.25
2722,Absinthe Frappee,,6,6,1900,1901,0.2,0.25
2723,Whiskey High Ball,,6,6,1901,1907,0.0,0.0
2724,Vermouth Frappe,,5,5,1901,1901,0.2,0.2
2725,CLARETS,,19,19,1882,1907,,
2726,Champagne Cider,,117,117,1856,1938,0.1,35.0
2727,Sherry Cobler,,10,10,1901,1938,0.0,0.55
2728,CRUSE & FILS FRERES,,2,3,1901,1905,,
2729,Creme de Cocoa,,112,115,1900,1963,0.0,15.0
2731,Creme de Yvette,,78,79,1900,1958,0.15,15.0
2732,Grand Vin Chateau Pontet Canet,,2,2,1901,1905,1.0,2.5
2733,"MINERAL WATERS, &c.",,1,1,1901,1901,0.0,0.0
2734,Rhine Wine and Seltzer,,14,14,1900,1951,0.1,0.55
2735,HALF PINT FLASKS TO CARRY.,,1,1,1901,1901,0.0,0.0
2736,Mint Julep,,106,107,1900,1972,0.15,25.0
2737,"St. Julien, Superior",,5,5,1892,1901,0.0,0.0
2738,Sauterne Wine,,18,18,1900,1955,0.1,3.5
2739,Claret Wine,,18,18,1900,1958,0.1,4.0
2740,Calisaya Bark,,8,8,1892,1906,0.1,0.25
2741,Sherry Wine,,40,41,1892,1958,0.15,3.5
2743,CHATEAU BOULIAC,,13,13,1880,1907,0.5,1.5
2744,Club Soda,,158,159,1888,1987,0.0,25.0
2745,Domestic Ginger Ale,,98,99,1892,1919,0.0,10.0
2746,SODA LEMONADE HOMESTEAD STYLE,,1,1,1901,1901,0.2,0.2
2747,HORSE'S NECK,,19,19,1901,1957,0.0,0.6
2748,LAGER BEER,,110,111,1881,1913,0.0,0.6
2749,"Anheuser-Busch, St. Louis",,32,32,1900,1913,0.15,0.25
2750,"Potatoes, Saratoga",,141,144,1889,1933,0.1,15.0
2752,"Potatoes, boiled",,237,240,1865,1973,0.0,15.0
2753,Piel's,,7,7,1901,1959,0.15,0.65
2754,"Potatoes, baked",,183,184,1865,1959,0.0,10.0
2755,"Potatoes, mashed",,221,222,1865,1968,0.0,15.0
2756,Apenta Water [Bitter Water],,2,2,1901,1901,0.1,0.1
2757,"Potatoes, hashed browned",,89,90,1898,1968,0.0,20.0
2758,"Potatoes, julienne",,128,129,1892,1948,0.05,15.0
2759,"Potatoes, au gratin",,127,129,1894,1968,0.0,20.0
2760,Large Syphon,,2,2,1901,1901,0.25,0.25
2761,"Potatoes, French fried",,244,251,1889,1969,0.0,20.0
2762,"Potatoes, German fried",,51,52,1900,1929,0.05,10.0
2763,Gosman's Ginger Ale,,3,3,1901,1921,0.0,0.0
2764,"Potatoes, stewed",,120,123,1853,1920,0.05,0.3
2765,Small Syphon,,2,2,1901,1901,0.15,0.15
2766,"Cooks Imperial, (American)",,5,5,1899,1901,1.25,2.5
2767,"Potatoes, lyonnaise",,220,226,1889,1959,0.0,20.0
2768,"Omelet, with parsley",,32,32,1898,1914,0.25,0.4
2769,Conquistador,,2,2,1901,1901,2.0,2.0
2770,"Omelet, with cheese",,33,33,1889,1918,0.3,0.45
2771,"Omelet, with oysters",,23,23,1889,1914,0.3,0.5
2772,Old London Dock,,8,8,1881,1901,0.15,4.0
2773,Omelet with mushrooms,,79,80,1893,1970,0.3,1.25
2774,Angostura,,22,22,1894,1959,0.15,20.0
2775,Omelet with tomatoes,,64,64,1899,1970,0.0,1.1
2776,California,,15,17,1900,1933,0.15,3.0
2777,Omelet with ham,,93,94,1889,1971,0.0,1.25
2778,"Creme de Menthe, green and white",,1,1,1900,1900,0.0,0.0
2779,Omelet currant jelly,,1,1,1901,1901,0.35,0.35
2780,Assorted Liquors by the Case at Moderate Prices,,1,1,1901,1901,0.0,0.0
2781,Creme de Mandarines,,2,2,1900,1901,0.2,0.25
2782,POMPLO PEPSIN,,1,1,1901,1901,0.15,0.15
2783,Half Pint Imported Sherry or Port,,2,2,1901,1901,0.0,0.0
2784,"Martell Cognac, V. O.",,1,1,1901,1901,0.25,3.0
2785,Hostetter's,,21,21,1900,1917,0.15,0.2
2786,Otard Dupuy Brandy,,15,15,1900,1918,0.2,2.5
2787,"ALLSOPP'S ALE, STOUT BASS'S ALE",,1,1,1901,1901,0.0,0.0
2788,"Sweet potatoes fried, saute, souffle",,1,1,1900,1900,0.0,0.0
2789,Hennessy***,,14,14,1896,1974,0.0,4.0
2790,Boonekamp of Maag,,2,2,1901,1901,0.15,0.15
2791,Glass Stout,,1,1,1901,1901,0.1,0.1
2792,Goblet,,2,2,1901,1901,0.05,0.1
2793,WHISKEY,,45,48,1882,1987,0.15,20.0
2794,Boker,,2,2,1901,1901,0.15,0.15
2795,Stein,,3,4,1901,1913,0.05,2.0
2796,Amer Picon,,65,66,1900,1976,0.0,3.0
2797,"Imperial, Pewter Pint",,1,1,1901,1901,0.0,0.0
2798,Pork tenderloin,,99,102,1889,1957,0.0,35.0
2799,""" "" half pint",,1,0,1901,1901,0.1,0.1
2801,Calisava,,2,2,1901,1901,0.1,0.1
2802,ARMY & NAVY (straight rye),,1,1,1901,1901,0.15,1.25
2803,SPRING WATERS,,2,2,1901,1901,0.0,0.0
2804,Philaelphia squab,,1,1,1900,1900,0.0,0.0
2805,BELLE OF BALTIMORE,,2,2,1901,1901,0.2,1.5
2806,GOTHAM CLUB,,1,1,1901,1901,0.15,1.25
2807,Londonderry Lithia Water,,52,54,1899,1918,0.1,0.4
2808,Genaveva,,1,1,1901,1901,0.1,0.3
2809,Antediluvian Whiskey,,23,23,1893,1918,0.15,3.0
2810,Walker's Canada Whiskey,,2,2,1901,1901,0.15,1.5
2811,Norvena,,1,1,1901,1901,0.15,1.5
2812,Paul Jones,,13,13,1900,1959,0.1,1.5
2813,Cobblers,,10,10,1892,1947,0.2,0.75
2814,Egg Nogg,,55,55,1856,1944,0.0,0.6
2815,Punches,,14,14,1892,1947,0.2,0.75
2816,Old Globe Holland,,1,1,1901,1901,0.15,2.0
2817,Booth's Old Tom,,3,3,1900,1901,0.0,0.0
2818,SCOTCH WHISKEY,,77,77,1885,1987,0.0,4.5
2819,BONNIE JEWEL,,1,1,1901,1901,0.15,1.25
2820,Plymouth,,38,38,1900,1959,0.12,3.75
2821,Sloe,,6,6,1900,1966,0.15,1.5
2822,"Robertson's ""Dundee""",,1,1,1901,1901,0.0,0.0
2823,Picadilly Dry,,1,1,1901,1901,0.16,1.5
2824,E. & J. B. Garn Kirk,,1,1,1901,1901,0.0,0.0
2825,RUM,,192,194,1895,1973,0.0,6.0
2826,Stewart's,,11,11,1900,1901,0.15,2.0
2827,Caldwell's Newburyport N.E. Rum,,2,2,1901,1901,0.15,1.5
2828,"O.V.G., Special",,1,1,1901,1901,0.15,1.5
2829,White Horse,,87,89,1901,1983,0.0,75.0
2830,King William,,43,45,1900,1959,0.15,20.0
2831,Hill Thompson,,1,1,1901,1901,0.15,1.5
2832,"Old Apple Jack, 1889",,2,2,1901,1901,0.15,1.5
2833,Shaw's,,1,1,1901,1901,0.15,1.5
2834,Cocktail,,182,192,1,1962,0.0,50.0
2835,"White Top, Club Special, Lake Kuka Wine Co.",,1,1,1900,1900,1.0,2.0
2836,IRISH WHISKEY,,97,97,1864,1980,0.0,4.5
2837,Cocktail Gin,,2,2,1901,1901,0.15,1.25
2838,Wm. Jameson & Co.,,1,1,1900,1900,2.0,2.0
2839,E. & J. B. ***,,1,1,1901,1901,0.15,1.5
2841,Antemundane,,1,1,1901,1901,0.15,1.5
2842,Old Bushmills,,6,6,1901,1941,0.15,1.5
2843,White Horse Cellar,,29,29,1900,1958,0.15,2.0
